Row,Season,No. in series,Company,Deal,Industry,Entrepreneur Gender,Amount,Equity,Valuation,Corcoran,Cuban,Greiner,Herjavec,John,O'Leary,Harrington,Guest,# Sharks,$ per shark,Details / Notes
152,3,13,AirBedz,No,Consumer Products,Male,,,,,,,,,,,,0,,
153,3,13,Skyride,No,Uncertain / Other,Male,,,,,,,,,,,,0,,
154,3,14,Dance With Me,Yes,Fitness / Sports,Male,"$100,000",50%,"$200,000",,1,,,1,,,,2,"$50,000",
155,3,14,Wild Squirrel Nut Butter,Yes,Food and Beverage,Female,"$50,000",40%,"$125,000",1,,,,,,,,1,"$50,000",
156,3,14,Mix Bikini,Yes,Fashion / Beauty,Male,"$50,000",25%,"$200,000",1,,,,,,,,1,"$50,000",
157,3,14,Cab20 Rock Band,No,Media / Entertainment,Male,,,,,,,,,,,,0,,
158,3,15,Remyxx ReKixx Sneakers,Yes,Fashion / Beauty,Male,"$50,000",80%,"$62,500",,,,,1,,,,1,"$50,000",
159,3,15,UniKey Technologies,Yes,Software / Tech,Male,"$500,000",40%,"$1,250,000",,1,,,,1,,,2,"$250,000",Deal did not close after snow (http://pando.com/2013/05/08/life-after-shark-tank-the-real-story-of-how-unikey-finally-came-to-market/)
160,3,15,The NitroForce Titan 1000,No,Fitness / Sports,Mixed Team,,,,,,,,,,,,0,,
161,3,15,Cougar Limited,No,Food and Beverage,Male,,,,,,,,,,,,0,,
162,4,1,Bev Buckle,Yes,Food and Beverage,Male,"$50,000",51%,"$98,039",1,,,,,,,,1,"$50,000",
163,4,1,Buggy Beds,Yes,Lifestyle / Home,Female,"$250,000",25%,"$1,000,000",1,1,,1,1,1,,,5,"$50,000",
164,4,1,Coat Chex,No,Business Services,Male,,,,,,,,,,,,0,,
165,4,1,Body Walking,No,Fashion / Beauty,Male,,,,,,,,,,,,0,,
166,4,2,SurfSet Fitness,Yes,Fitness / Sports,Mixed Team,"$300,000",30%,"$1,000,000",,1,,,,,,,1,"$300,000",
167,4,2,CateApp,Yes,Software / Tech,Male,"$75,000",30%,"$250,000",,,,,1,1,,,2,"$37,500",
168,4,2,Alpha M,No,Business Services,Male,,,,,,,,,,,,0,,
169,4,2,eCreamery,No,Food and Beverage,Female,,,,,,,,,,,,0,,
170,4,3,Rock Bands,Yes,Fashion / Beauty,Male,"$100,000",40%,"$250,000",,1,,,1,,,,2,"$50,000",
171,4,3,Posture Now,Yes,Healthcare,Male,"$100,000",30%,"$333,333",,1,,,,,,,1,"$100,000",
172,4,3,FuzziBunz,No,Children / Education,Female,,,,,,,,,,,,0,,
173,4,3,Liz Lovely Cookies,No,Food and Beverage,Mixed Team,,,,,,,,,,,,0,,
174,4,4,Bag Bowl,Yes,Lifestyle / Home,Male,"$40,000",33%,"$121,212",,,1,,,,,,1,"$40,000",
175,4,4,Back 9 Dips,Yes,Food and Beverage,Mixed Team,"$150,000",25%,"$600,000",,,1,1,,,,,2,"$75,000",
